dataset,cluster_id,document_count,percentage,representative_doc_id
clinical_trials,0,7663,3.1796,NCT00116701
clinical_trials,1,15103,6.2666,NCT00286754
clinical_trials,2,20784,8.6239,NCT02106650
clinical_trials,3,16758,6.9534,NCT01605994
clinical_trials,4,9335,3.8733,NCT02720965
clinical_trials,5,9335,3.8733,NCT01503944
clinical_trials,6,16263,6.748,NCT02963831
clinical_trials,7,16211,6.7264,NCT02047474
clinical_trials,8,10764,4.4663,NCT01126424
clinical_trials,9,13339,5.5347,NCT01848288
clinical_trials,10,9803,4.0675,NCT02685293
clinical_trials,11,10743,4.4576,NCT02111746
clinical_trials,12,12195,5.06,NCT00438074
clinical_trials,13,9445,3.919,NCT01592656
clinical_trials,14,7472,3.1003,NCT01804634
clinical_trials,15,12184,5.0555,NCT01008813
clinical_trials,16,9589,3.9787,NCT00620828
clinical_trials,17,14339,5.9496,NCT01324921
clinical_trials,18,11412,4.7352,NCT00357968
clinical_trials,19,8269,3.431,NCT00702988
