dataset,cluster_id,document_count,percentage,representative_doc_id
quora,0,17905,3.424,6020
quora,1,15928,3.0459,112294
quora,2,18042,3.4502,41484
quora,3,13470,2.5759,311699
quora,4,17025,3.2557,258635
quora,5,15434,2.9514,141723
quora,6,14669,2.8052,152482
quora,7,35986,6.8816,438619
quora,8,27794,5.315,427943
quora,9,13547,2.5906,367124
quora,10,26162,5.003,192508
quora,11,16663,3.1865,337600
quora,12,14197,2.7149,230867
quora,13,15234,2.9132,388407
quora,14,16503,3.1559,129070
quora,15,11395,2.1791,28339
quora,16,18011,3.4442,509502
quora,17,14263,2.7275,444133
quora,18,21525,4.1162,342748
quora,19,21269,4.0673,523813
quora,20,12497,2.3898,315971
quora,21,13738,2.6271,59118
quora,22,14955,2.8598,138431
quora,23,16911,3.2339,137238
quora,24,22864,4.3723,291283
quora,25,16090,3.0769,229679
quora,26,10185,1.9477,147029
quora,27,18979,3.6294,11844
quora,28,16413,3.1387,77611
quora,29,15277,2.9214,242697
